停留所コード,停留所名,URL
01000,相川一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01000
01005,相生山住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01005
01006,相生山住宅南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01006
01007,相川二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01007
01008,相川三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01008
01010,愛工前,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01010
01013,愛知県図書館,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01013
01015,青峰通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01015
01020,青柳町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01020
01025,赤坂町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01025
01030,赤塚,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01030
01032,赤塚白壁,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01032
01035,赤坪町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01035
01040,赤松,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01040
01055,曙町一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01055
01060,曙町二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01060
01065,旭桜ケ丘,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01065
01070,旭労災病院,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01070
01080,味鋺住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01080
01085,味鋺小学校北,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01085
01095,東橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01095
01098,愛宕西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01098
01100,熱田駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01100
01101,熱田駅西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01101
01103,熱田区役所,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01103
01104,熱田生涯学習センター,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01104
01105,熱田伝馬町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01105
01106,熱田西町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01106
01107,熱田プール,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01107
01110,穴ケ洞,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01110
01115,油屋町一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01115
01120,油屋町二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01120
01123,雨池,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01123
01125,天子田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01125
01130,天塚町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01130
01140,阿由知通二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01140
01145,荒池,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01145
01146,荒池二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01146
01148,荒池緑地,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01148
01150,荒江町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01150
01155,新木町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01155
01160,荒子一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01160
01162,荒子駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01162
01163,荒子川公園北,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01163
01164,荒子川公園駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01164
01165,荒子観音,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01165
01170,荒子町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01170
01175,新瑞橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01175
01180,荒中町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01180
01185,荒畑,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01185
01190,荒輪井,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01190
01192,有松インター北,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01192
01195,有松小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01195
01200,有松町口無池,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01200
01202,有松町清水山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01202
01205,有松中町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_01205
02000,飯田町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02000
02005,池内町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02005
02010,池上,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02010
02012,池上台,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02012
02015,池下,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02015
02017,池場一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02017
02020,池端,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02020
02025,池花町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02025
02030,石川橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02030
02035,一色大橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02035
02040,石薬師,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02040
02045,惟信高校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02045
02050,惟信高校正門,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02050
02055,惟信町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02055
02060,猪高車庫,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02060
02065,猪高小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02065
02070,猪高台,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02070
02080,猪高緑地,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02080
02083,猪高緑地南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02083
02085,一番三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02085
02090,一柳中学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02090
02095,一社,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02095
02105,一州町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02105
02110,一州町南,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02110
02113,稲永駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02113
02115,稲永小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02115
02120,稲永新田,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02120
02125,稲永町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02125
02135,稲永ふ頭,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02135
02137,稲永スポーツセンター,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02137
02138,稲上町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02138
02140,稲西車庫,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02140
02143,稲葉地公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02143
02145,稲葉地町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02145
02150,稲葉地本通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02150
02155,稲生町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02155
02157,猪子石一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02157
02160,猪子石小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02160
02162,猪子石荘,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02162
02165,猪子石中学,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02165
02168,猪之越町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02168
02170,猪子石団地,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02170
02175,猪子石西原,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02175
02180,猪子石原,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02180
02185,茨木町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02185
02190,今池,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02190
02195,鋳物師洞,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02195
02200,杁中,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02200
02205,入場,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02205
02210,入場二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02210
02213,いろは橋西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02213
02215,岩井通一丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02215
02220,岩塚石橋,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02220
02225,岩塚小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02225
02229,岩塚本通三丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02229
02230,岩塚本通四丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02230
02235,岩塚本通五丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02235
02236,岩戸町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02236
02238,印場,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02238
02240,印場駅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02240
02242,印場東,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_02242
03000,植田西,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03000
03002,植園住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03002
03003,植園町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03003
03005,植田一本松,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03005
03007,植田大久手,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03007
03008,植田北小学校,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03008
03009,植田中央公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03009
03010,植田山,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03010
03011,植田本町二丁目,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03011
03015,植田山住宅,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03015
03020,植田山住宅北,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03020
03025,植田寮,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03025
03030,上野公園,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03030
03032,浮野町,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03032
03034,牛田通,http://map.kotsu.city.nagoya.jp/map/QR.jsp?from=b_03034
