route_id,route_name,系統名,運行区間
,,C‐758,名古屋駅　ー　名古屋駅　(ノンステップ)
,,メーグル,名古屋駅　ー　名古屋駅　(ノンステップ)
,,メーグル,名古屋駅　ー　名古屋駅　(ノンステップ)
,,稲.本,稲西車庫　ー　本陣　(ノンステップ)
,,印.高,印場　ー　高蔵寺　(ノンステップ)
,,栄11,栄　ー　中丸町　(ノンステップ)
,,栄11,栄　ー　如意住宅　(ノンステップ)
,,栄11,栄　ー　如意車庫前　(ノンステップ)
,,栄11,栄　ー　如意車庫前　(ノンステップ)
,,栄11,栄　ー　平田住宅　(ノンステップ)
,,栄11,栄　ー　平田住宅　(ノンステップ)
,,栄12,栄　ー　安井町西　(ノンステップ)
,,栄13,栄　ー　安井町西　(ノンステップ)
,,栄13,栄　ー　川中　(ノンステップ)
,,栄14,栄　ー　上飯田　(ノンステップ)
,,栄15,大曽根　ー　新守山駅　(ノンステップ)
,,栄15,栄　ー　新守山駅　(ノンステップ)
,,栄16,栄　ー　名古屋大学　(ノンステップ)
,,栄17,栄　ー　名古屋大学　(ノンステップ)
,,栄18,栄　ー　妙見町　(ノンステップ)
,,栄20,栄　ー　御器所通　(ノンステップ)
,,栄20,栄　ー　新瑞橋　(ノンステップ)
,,栄20,栄　ー　瑞穂運動場東　(ノンステップ)
,,栄21,栄　ー　泉楽通四丁目　(ノンステップ)
,,栄22,栄　ー　港区役所　(ノンステップ)
,,栄23,栄　ー　中川車庫前　(ノンステップ)
,,栄24,栄　ー　稲西車庫　(ノンステップ)
,,栄25,栄　ー　名塚中学　(ノンステップ)
,,栄25,栄　ー　名西橋　(ノンステップ)
,,栄25,栄　ー　浄心町　(ノンステップ)
,,栄26,栄　ー　博物館　(ノンステップ)
,,栄27,栄　ー　栄　(ノンステップ)
,,栄27,栄　ー　浄心町　(ノンステップ)
,,幹一社1,一社　ー　一社　(ノンステップ)
,,幹一社1,一社　ー　一社　(ノンステップ)
,,幹一社1,一社　ー　引山　(ノンステップ)
,,幹一社1,一社　ー　猪高車庫　(ノンステップ)
,,幹一社1,一社　ー　猪高車庫　(ノンステップ)
,,幹栄1,栄　ー　味鋺小学校北　(ノンステップ)
,,幹栄1,栄　ー　如意住宅　(ノンステップ)
,,幹栄1,栄　ー　水分橋　(ノンステップ)
,,幹栄1,西部医療センター　ー　如意住宅　(ノンステップ)
,,幹栄1,黒川　ー　如意住宅　(ノンステップ)
,,幹栄1,黒川　ー　水分橋　(ノンステップ)
,,幹栄2,栄　ー　新大正橋西　(ノンステップ)
,,幹栄2,栄　ー　稲葉地町　(ノンステップ)
,,幹原1,地下鉄原　ー　地下鉄原　(ノンステップ)
,,幹原1,地下鉄原　ー　島田一ツ山　(ノンステップ)
,,幹原1,地下鉄原　ー　島田一ツ山　(ノンステップ)
,,幹原1,地下鉄原　ー　相生山住宅　(ノンステップ)
,,幹高畑1,地下鉄高畑　ー　多加良浦　(ノンステップ)
,,幹砂田1,池下　ー　大森車庫　(ノンステップ)
,,幹砂田1,池下　ー　大森車庫　(ノンステップ)
,,幹砂田1,砂田橋　ー　大森車庫　(ノンステップ)
,,幹新瑞1,新瑞橋　ー　島田住宅　(ノンステップ)
,,幹新瑞1,新瑞橋　ー　平針住宅　(ノンステップ)
,,幹神宮1,神宮東門　ー　中川車庫前　(ノンステップ)
,,幹神宮1,神宮東門　ー　多加良浦　(ノンステップ)
,,幹神宮1,神宮東門　ー　明徳橋　(ノンステップ)
,,幹神宮1,神宮東門　ー　河合小橋　(ノンステップ)
,,幹神宮2,六番町　ー　中川車庫前　(ノンステップ)
,,幹神宮2,六番町　ー　権野　(ノンステップ)
,,幹神宮2,神宮東門　ー　中川車庫前　(ノンステップ)
,,幹神宮2,神宮東門　ー　権野　(ノンステップ)
,,幹星丘1,星ケ丘　ー　星ケ丘　(ノンステップ)
,,幹星丘1,星ケ丘　ー　東名古屋病院　(ノンステップ)
